instruction,image_url
Pick up the green block that is furthest away from you and in front of two blue blocks.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_3_v2.png
Pick up the blue block furthest to your left.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_7_v1.png
Pick up the yellow block that is between a green block and a blue block.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_11_v1.png
On the left hand side of the group of blocks are 5 green blocks. Pick up the one that is in the middle.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_6_v1.png
"Pick up the yellow block, in the middle touching the green block on the left side.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_13_v2.png
Pickup the green block that is second farthest to the right.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_6_v2.png
Pick up the third blue block from your left.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_2_v2.png
Look for a blue block. Pick up the blue block that is furthest away from you.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_12_v2.png
There are three blue blocks on your left side - pick up the middle of the three.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_2_v1.png
"To your left, there's an orange next to three blue blocks. Pick up the first blue touching the orange.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_2_v2.png
Pick up the blue block farthest on your right.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_11_v2.png
Pick up the green block closest to you.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_3_v1.png
Pick up the block in the center,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_6_v2.png
Pick up the blue block that is next to the other blue block and by the orange block.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_12_v1.png
Pick up the blue block that is above the orange block that is nearest you.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_2_v2.png
There is a small grouping of two green blocks to your left. Pick up the block that is closer to the blue block next to that group.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_7_v2.png
Pick up the nearest green block to you,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_1_v2.png
Pick up the blue block on your left.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_7_v1.png
Pick up the yellow block that is furthest away from you.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_5_v2.png
Grab the closest orange block to you on your right side.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_10_v2.png
"Pick up the green block that is closest to you, the one right in front of you.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_9_v2.png
Pick up the blue block that is the furthermost block away from you on the table.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_12_v2.png
Pick up the orange block that is the farthest away from you to the left.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_10_v1.png
Take the orange block that is all the way on the right.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_10_v1.png
There are 3 blue blocks on the left side of the table.  Please pick up the blue block that is on the right side of this group.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_2_v2.png
Pick up last blue block near the orange block.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_12_v1.png
"Find the green block that is farthest from you. Now, pick up the green block that is just in front of that far green block.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_7_v2.png
pick up the blue cube furthest to your right,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_14_v1.png
Pick up the orange block furthest to the left.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_10_v1.png
Take the green block that has two orange blocks behind it.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_6_v2.png
On the left side pick up the green block that is closest to you.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_7_v2.png
I would ask them to pick the block on their right.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_11_v2.png
Pick up the blue block the is in front of the green block that is closet to you..,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_14_v2.png
There are three block in the middle of the table and grab the one at the farthest right.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_8_v2.png
"The box at the utmost top, grab the one immediately to the left of it.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_5_v1.png
pick up the second blue block from the left,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_2_v1.png
Pick up the only green block on your left side.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_9_v1.png
"pick up your left hand, place it on the table,  slide it to the right and touch the first green block you see.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_1_v2.png
Pick up the green block that is directly in front of you.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_6_v2.png
Pick up the center most green block.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_6_v2.png
Pick up the leftmost green block. This block is next to the leftmost blue block.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_7_v2.png
"There is a cluster of 3 blue blocks to your left. It is near an orange block. Grab the one in the center, it should be the closest one to you in that group.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_2_v1.png
"From your point of view, grab the second yellow block directly behind the left most blue block.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_13_v2.png
Pick up the yellow block that is  to the immediate left of the blue block on your right.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_4_v1.png
Pick up the green block directly in front of the orange block.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_6_v2.png
Pick up the yellow block closest to you that is touching a green block.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_13_v2.png
Pick up the block below last one on the right side,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_13_v1.png
"Pick up the purple block that is the furthest away from you, this block is also the second purple block that you see looking from your right and going left.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_12_v2.png
I would tell the robot to pick up the green block that is directly in front of me,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_9_v2.png
Pick up the blue block furthest to the right,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_14_v1.png
pick up the next to the farthest blue block,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_12_v1.png
"There are five blocks that are green in close proximity to each other, you can see them starting from your left. Pick up the green block that is in the middle of the group.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_6_v1.png
the green block closest to you,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_9_v2.png
Pick up the blue block that is farthest to the right.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_14_v1.png
Grab the orange block that is isolated from all the other blocks.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_10_v1.png
Pick up the green block that is before the two orange blocks.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_6_v2.png
Pick up the blue block directly to the left of the orange block at the bottom left side of the table.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_2_v1.png
Pick up the green block that is next to the two blue blocks,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_3_v2.png
Pick up the blue block in front of the yellow block to your left,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_7_v1.png
Pick up the blue box directly behind the green box that is closest to you.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_14_v2.png
Pick up the blue block that is closest to me on your right.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_12_v2.png
Pick up the first green block very near to you.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_9_v2.png
Please pick up the green block located center most in the table.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_8_v2.png
"There is a bunch of blocks together. At the top, grab the one at the most top in the middle.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_5_v2.png
Lift your right hand and put it over the table. i will guide you as to what direction and when to pick up an object. The object is the second block.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_14_v2.png
you want a yellow that will be after and orange and a yellow one on your right hand side.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_4_v2.png
"Pick up the block that is the closest to the one right in your direct line of sight. So look straight in front and notice the block that you see first, the block you want to pick up is the one closest to it.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_11_v2.png
Pick up the orange block closest to you.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_13_v1.png
Look for 3 green block that are all touching in a row. Pick up the middle one of those 3 blocks.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_8_v1.png
"Pick up the orange block that on your left side, all alone and furthest away from you.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_10_v1.png
Pick up the green block that is closest to you.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_9_v2.png
"pick the yellow block, third from the left",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_13_v2.png
Please pick up the green block that is positioned closest to you.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_9_v2.png
